pH,TDS_mg_L,Turbidity_NTU,Hardness_mg_L,Nitrates_mg_L,Fluoride_mg_L,Iron_mg_L,Total_Coliform_MPN,Ecoli_MPN,Lead_ppb,Arsenic_ppb,potable_label
10.92,1873,7.2,612,47.27,2.77,1.33,24,18,25.6,8.6,0
9.09,1751,11.4,505,18.04,2.54,3.85,34,8,15.8,1.4,0
2.53,1402,5.4,318,41.56,0.94,1.21,36,10,28.3,19.8,0
5.77,1865,2.3,215,84.6,3.82,0,30,12,27.9,11.6,0
6.87,843,6.8,337,37.94,3.94,3.41,28,6,19.4,16.4,0
7.88,1974,3.3,573,68.55,0.79,0.56,28,,13.3,32.5,0
7.01,1219,8.1,529,56.54,1.82,2.28,23,14,9.4,3,0
7.18,605,8.7,571,0,1.57,3.62,27,8,8.2,9.2,0
10.08,1475,5.4,395,40.61,2.43,1.8,31,16,36.6,3.7,0
5.14,1445,3.4,624,57.19,2.84,2.62,24,18,15,10,0
6.2,2672,5.6,376,25.71,1.48,0.57,32,13,3,32,0
11.6,1936,6.1,156,36.64,1.87,3.31,,9,13.8,18.2,0
8.41,1960,4.9,577,44.5,1.48,0.93,0,0,9.6,9.5,1
8.41,1949,4.7,588,42.33,1.45,0.93,0,,9.6,9.4,1
7.67,236,0.7,133,9.09,0.29,0.12,0,0,1.2,2.6,1
11.53,926,14.9,562,53.5,2.69,2.67,26,7,17.5,10.5,0
8.45,1946,4.9,584,44.68,1.46,0.95,0,0,9.4,9.6,1
8.38,1942,4.7,569,44.33,1.43,1,0,0,9.3,9.4,1
7.31,476,0,222,43.11,3.04,1.81,34,11,9.9,23.1,0
7.21,2069,8.1,483,36.24,1.4,4.9,30,6,23.3,20.4,0
7.57,1055,8.3,619,79.85,3.39,0.39,,5,15.6,13.4,0
9.49,1219,9.1,517,79.05,0.74,3.37,,10,8.1,12.5,0
8.44,1927,4.7,576,44.38,1.45,0.96,0,0,9.8,9.7,1
7.42,2524,10.8,387,50.43,1.17,1.19,38,9,15.5,14.7,0
7.34,1659,1.6,197,66.93,2.02,1.26,32,8,22.8,28.6,0
0.06,1786,5.9,408,41.56,2.71,0.5,38,11,33.9,22.5,0
8.57,973,6.1,164,69.55,1.83,2.17,33,8,15.5,12.2,0
3.89,1355,5.4,491,3.11,3.38,0.98,31,7,16.5,18.7,0
6.97,501,10.9,313,61.94,1.75,1.6,35,12,29,4.2,0
7.13,232,0.2,124,15.97,0.46,0.14,0,0,3.8,2,0
10.43,2261,5.1,539,9.02,2.74,2.4,35,9,23.3,5,0
8.41,1956,4.8,557,44.47,1.45,0.95,0,0,9.6,9.7,1
11.25,1219,11,906,57.23,1.29,2.37,26,,11.6,24.6,0
6.93,1383,1.8,458,40.08,3.28,0,24,9,23.6,1.9,0
8.4,1940,4.8,563,43.93,1.45,0.95,0,0,9.3,9.4,1
8.01,0,0.9,204,15.55,2.06,3.07,33,12,20.4,25.8,0
0.98,1798,4.5,441,73.57,1.47,0,36,18,15.2,32.3,0
4.66,1795,8.6,473,24.71,1.96,1.62,38,8,12.9,0,0
8.28,1449,5.3,319,45.95,1.97,3.65,34,11,12.9,10.7,0
7.84,1016,9.7,454,56.78,3.18,2.41,21,10,19.7,19.2,0
6.19,1807,9.9,240,17.55,0.51,2.19,21,8,17.5,32.8,0
10.45,2330,3.5,674,38.13,0.89,0.23,29,17,13.5,7.3,0
7.3,230,0.4,60,12.45,0.4,0.11,0,0,1.5,2,1
4.68,197,2.5,404,73.43,1.27,3.71,,12,14.4,29.5,0
8.5,1935,4.9,589,44.36,1.45,0.99,0,0,9.5,9.8,1
5.57,1248,5.1,294,38.12,2.27,3.27,28,9,31.9,12.3,0
7.49,233,0.2,96,6.21,0.42,0.11,,0,3,3,1
4.67,2266,5.3,692,21.28,3.56,1.68,36,10,28.7,16.3,0
1.32,2077,6,353,55.29,1.12,1.11,24,,11.3,13.5,0
5.66,1905,3.6,388,58.88,2.83,2.5,28,9,9,10.4,0
8.48,1962,4.8,579,43.9,1.48,0.95,0,0,9.5,9.5,1
11.75,1662,6.5,485,47.12,1.76,3.21,27,5,22.2,10.5,0
8.38,1983,4.8,573,43.74,1.47,0.97,0,0,9.3,9.6,1
3.26,1932,0.8,118,53.37,1.54,4.03,23,7,10,16.8,0
8.96,1351,6,221,26.59,0,0.41,32,13,0,9.4,0
6.34,1279,0,191,27.47,1.63,3.5,33,11,25.6,9.1,0
2.96,129,5.7,388,32.39,2.16,3.05,35,7,28.9,21,0
7.22,2142,7.8,615,55.8,2,3.13,33,11,27,0,0
10.57,974,0,221,29.24,1.33,2.21,28,,24.6,23.7,0
9.19,1320,8.1,24,45.36,2.37,2.53,,9,16,5,0
2.24,1733,4.1,433,62.94,0.35,1.43,,4,21.2,13.9,0
9.58,1619,2.7,87,40.29,2.93,1.81,37,13,13.4,20,0
9.46,522,4.6,678,18.49,3.29,2.75,31,15,18,13.6,0
9,1261,6.2,793,47.67,1.24,0,30,15,4.1,5.6,0
8.03,1486,12.5,487,51.03,1.87,0,34,12,15.1,1,0
7.02,1033,0,194,34.73,2.12,2.24,41,11,13.7,10.5,0
3.8,1367,3.4,580,48.15,2.83,2.23,,8,4,10.2,0
11.22,647,5.4,195,31.66,0.88,4.36,34,5,19.4,19.5,0
4.47,1034,0.3,44,63.36,3.13,2.53,39,8,4.1,32.9,0
5.84,576,5.4,656,42.99,3.66,1.21,35,9,20.6,31.5,0
9.19,1347,11.2,176,60.53,2.3,3.13,23,18,26.7,8.5,0
8.43,1928,4.8,586,44.19,1.45,0.92,0,,9.2,9.8,1
8.36,1935,4.7,572,43.47,1.43,0.93,,0,10,9.4,1
7.78,232,0.5,80,9.05,0.47,0.09,0,0,2,2.8,1
8.76,1516,4.5,473,33.75,1.03,1.84,25,15,0,8.1,0
8.39,1951,4.9,574,43.89,1.43,0.97,0,0,9.8,9.3,1
7.47,1873,15.2,0,39.71,2.43,1.09,28,7,13.5,24,0
8.35,1964,4.8,592,44.27,1.47,0.93,0,0,9.3,9.8,1
8.65,2973,8.6,359,0,3.29,1.58,18,10,4.2,20.4,0
9.25,1726,1.1,755,24.48,2.41,2.93,42,10,18.2,17.1,0
8.79,1681,8,400,34.78,3.77,2.86,34,,21.8,5.4,0
3.01,2796,10.1,325,29.5,2.27,0,26,6,5.7,8.4,0
6.07,2446,2.6,155,50.66,1.44,2.33,28,,12,10.5,0
3.48,1148,5.7,645,60.47,2.94,3.65,,5,2.1,0.1,0
7.96,672,3.1,0,27.02,1.98,2.36,37,13,9.4,8.4,0
7.19,200,0.3,104,16.39,0.43,0.16,0,0,2.6,0.7,1
7.67,143,0.5,132,12.29,0.41,0.09,0,0,2,4.1,0
8.5,1937,4.7,563,43.92,1.46,0.94,0,0,9.7,9.7,1
7.76,160,1,87,21.51,0.46,0.11,0,0,2.7,2.8,1
7.89,2334,6.2,364,52.41,2.54,0.91,34,13,8.5,17.2,0
9.1,1485,5,330,47.78,1.47,1.53,38,7,16.8,12.1,0
2.88,2159,8.2,756,43.03,1.77,2.67,,10,12.7,1,0
9.78,1122,2.8,270,44.28,1.63,2.95,31,9,17.1,8.5,0
8.4,1938,4.8,582,43.82,1.45,0.93,0,0,9.4,9.6,1
3.53,1145,12,180,45.18,1.99,5.44,31,11,22,26.3,0
8.34,1934,4.9,588,43.87,1.47,0.94,0,0,9.4,9.4,1
3.46,565,6.3,463,56.03,2.31,0.94,30,8,22.7,28.6,0
9.24,2585,8.6,255,41.29,2.55,2.63,28,7,28.3,9.3,0
7.3,254,0.7,109,10.68,0.4,0.1,0,,1.4,3,0
4.56,2570,3.2,583,49.91,1.03,0.89,27,11,8.1,4.2,0
7.44,151,0.6,130,7.14,0.26,0.13,0,0,1.3,1.3,1
4.79,1820,10.3,415,66.17,1.16,1.35,29,11,24.9,18.8,0
10.69,1550,2.8,805,65.76,2.01,0.94,30,6,7.7,6.2,0
5.84,945,8.5,405,54.67,2.05,5.38,33,6,31.8,29.1,0
8.38,1949,4.6,567,43.58,1.47,0.96,0,0,9.5,9.4,1
2.84,1202,8.3,125,57.9,3.05,0.31,27,7,8.8,20.8,0
6.35,2732,19.4,248,12.26,2.7,3.02,35,15,8.5,18,0
8.37,1983,4.8,583,44.1,1.43,0.92,0,0,9.7,9.3,1
9.75,1712,8.5,318,60.03,3.27,6.63,33,18,12.5,14.6,0
7.64,287,0.5,112,12.13,0.52,0.13,,0,3.3,1.8,1
9.81,1238,2,285,52.5,1.21,0.74,30,20,22.3,16.6,0
8.71,2322,3.8,462,7.8,2.33,2.92,36,,0,2.3,0
9.66,1287,6.3,725,34.25,0.62,1.73,34,14,13.4,33.5,0
5.4,1515,8.8,743,3.61,0.59,0.21,30,7,12.5,15.9,0
6.54,0,5.2,764,35.9,1.24,0,29,7,29.4,12.6,0
7.16,283,0.6,92,8.44,0.39,0.17,0,0,3,1.7,1
8.51,918,10.3,0,85.37,3.96,2.66,36,9,8.1,11.2,0
10.29,1536,8.2,288,83.67,2.08,2.59,24,10,15,14.2,0
9.14,1395,2.1,488,41.28,3,2.19,31,12,3.4,17.2,0
6.92,1091,8.3,280,65.5,1.76,1.31,,9,13.9,29.7,0
9.19,1417,3,190,40.31,2.52,1.13,27,15,11.6,12.8,0
6,1883,3.4,441,91.59,2.43,3.45,37,15,21.3,20.5,0
1.33,1866,1.4,0,44.67,3,3,26,8,7.8,10.4,0
4.39,1048,1.8,129,6.02,2.12,0,28,,11.6,15.6,0
10.71,1351,12.5,311,38.89,1.88,2.55,31,7,26.9,21.9,0
9.97,884,14,220,30.66,1.4,5.44,32,7,18.5,16.2,0
7.38,2097,10,433,46.74,2.43,0.29,35,12,15,29.4,0
8.98,1468,4.5,420,33.76,3.34,2.47,,11,28.1,10.8,0
8.47,1951,4.9,578,44,1.48,0.98,0,0,9.6,9.5,1
8.38,1687,5.1,583,73.78,2.27,2.58,37,6,11.9,13.7,0
9.18,493,7.2,654,39.25,4.04,2.36,21,15,18.6,28.1,0
4.38,2883,6.9,341,12.29,3.97,2.7,16,12,18.6,22.4,0
8.3,1965,4.9,580,43.88,1.46,0.94,0,0,8.9,9.5,1
10.09,1924,8.4,687,41.01,1.97,2.77,33,7,26.9,17.6,0
7.53,1599,7.6,262,53.56,2.92,3.16,33,,14.3,19.5,0
5.44,1903,11.5,147,50.68,1.11,1.7,,10,25.4,41.6,0
8.46,1922,4.8,565,43.8,1.45,0.96,0,0,9.6,9.6,1
5,1693,6,368,24.23,0,1.47,32,12,17.8,22.5,0
4.4,1861,8.1,388,34.67,2.08,3.42,26,9,27.8,10.3,0
7.94,72,0.7,100,12.36,0.56,0.14,0,0,1.2,3.1,1
8.46,1960,4.8,580,44.4,1.45,0.93,0,,9.4,9.7,1
10.61,1408,5.5,546,44.05,0.82,3.47,31,10,22.5,15.2,0
8.05,1698,0,674,56.36,2.66,3.66,28,15,24.6,3.6,0
9.11,1388,6,421,19.1,3.31,0,39,9,2.6,11.5,0
8.26,1478,8.8,366,10.2,3.6,1.48,34,11,26.7,0,0
8.45,1959,4.8,582,43.71,1.46,0.95,0,0,9.3,9.4,1
8.95,1958,0.7,232,35.25,1.45,0.78,36,12,22.2,8.1,0
6.94,1973,5.9,275,45.83,3.02,1.76,20,7,15,10.3,0
7.61,1330,5.3,181,56.84,2.74,0.4,24,12,26.7,9.8,0
8.13,944,5.7,217,66.03,1.88,4.74,37,5,23.2,0,0
10.86,1147,8.7,435,13.24,0.84,0.63,25,11,11.5,13.9,0
8.48,422,6.7,665,42.35,0,2.01,29,10,29.2,2.9,0
4.95,1834,6.9,342,55,3.52,0.6,,11,31.4,12.1,0
9.95,549,6.7,383,59.56,2.73,1.57,31,13,27.3,21.4,0
9.44,1826,8,117,51.68,3.46,1.41,40,12,1.5,16.1,0
8.29,1941,4.9,585,43.42,1.41,0.97,0,0,9.2,9.5,1
6.43,2650,8.8,494,3.04,1.26,1.97,30,,9.7,29.2,0
4.75,1645,4,495,41.39,2.82,1.95,25,14,20.8,25.6,0
3.42,656,5.1,201,67.95,1.65,2.34,23,4,38.5,18.8,0
9.55,2474,7.8,0,40.3,3.02,2.34,37,13,28.3,18.8,0
7.33,194,0.3,113,11.3,0.36,0.01,0,0,1.3,0.8,1
4.88,1720,6.1,329,45.86,2.99,1.77,31,8,4.9,9.4,0
5.24,2256,8.7,621,52.52,1.33,1.48,29,10,1.7,15,0
10.54,1981,0.9,447,0,1.54,1.67,23,10,13.2,29.2,0
3.94,44,11.7,192,45.51,2.64,2.1,27,11,0,17.7,0
8.41,1967,4.9,581,45,1.46,0.94,0,0,9.9,9.5,1
12.38,352,0,574,54.29,2.92,1.16,33,,24.5,16.2,0
4.86,1512,0,486,20.87,2.67,1.62,21,8,14,29.1,0
6.87,941,6.6,413,32.14,1.79,0,43,11,3.2,5.9,0
8.35,2000,4.6,590,43.19,1.46,0.93,0,0,9.5,9.3,1
11.08,1740,0.5,320,62.69,3.88,1.46,31,,5,18,0
7.55,1479,3.5,419,17.23,1.85,1.9,30,,23,29.3,0
12.01,0,2.8,452,49.84,2.36,0.83,31,8,4.3,5.4,0
8.42,1303,11.4,515,60.38,1.91,1.5,26,6,16.3,26.3,0
8.23,1163,1.9,124,25.1,2.25,0,30,11,9.2,28.8,0
9.45,584,8.1,320,46.64,4.68,3.24,44,8,17,27.7,0
6.58,1422,8.4,624,49.64,2.18,2.47,36,12,25.6,39,0
6.5,965,2.9,340,34,2.81,3.93,20,9,4,41.1,0
4.85,744,0,188,42.6,0.21,1.99,38,7,16.1,0,0
4.58,1268,10.2,965,92.46,1.44,3.13,28,8,7.4,20.6,0
9.12,2429,10.1,680,71.36,0.45,0,33,10,13.9,3.9,0
8.03,1761,5.7,450,57,2.19,1.67,32,15,12.5,5.7,0
8.26,1343,6.2,291,47.58,3.33,1.48,38,9,27.7,20.4,0
6.2,1620,3.3,486,71.87,2.67,1.42,35,8,13,14.4,0
4.34,1606,0,384,46.04,2.54,0.2,18,9,32.1,12.1,0
7.52,167,0.2,113,9.29,0.46,0.08,0,0,1.8,2.3,1
6.4,952,5.5,455,70.42,3.75,1.24,31,7,12.6,7.5,0
8.47,1939,5,594,43.7,1.44,0.96,0,0,9.5,9.2,1
8.87,1786,8.4,701,47.06,1.58,0.88,34,9,0,7,0
8.34,1933,4.8,569,44.59,1.39,0.94,0,0,9.6,9.5,1
8.2,1198,2,545,8.3,2.47,0.77,28,10,11,24.7,0
5.44,1272,8.6,430,35.79,2.58,0.76,28,10,17.5,9.7,0
8.11,2872,4.3,368,18.69,3.51,2.95,30,6,19.7,7,0
5.99,2327,1.8,248,71.84,1.56,2.13,32,12,23.3,0,0
7.99,250,0.4,105,10.64,0.45,0.08,0,0,3.7,0.8,1
7.64,864,3.7,390,47.33,2.06,3.81,26,,17,12.3,0
1.87,1428,8.5,525,39.83,1.67,2.89,,,17,11.4,0
7.54,237,0.4,108,16.64,0.53,0.1,0,0,3.3,1.7,1
2.36,1152,6.6,287,27.29,1.58,2.75,35,9,24.7,5.7,0
1.55,1951,10.5,245,56.22,2.37,5.2,30,6,18.5,7.9,0
7.77,221,0.4,51,16.94,0.32,0.12,0,0,2.4,3.3,1
7.31,208,0.5,58,5.91,0.47,0.11,0,0,2.3,0.8,1
8.73,1421,8.8,688,48.59,1.23,1.06,,11,21.7,30.8,0
7.21,198,0.4,61,12.99,0.43,0.12,0,0,2.6,1.6,1
8.42,1962,4.9,590,44.36,1.45,0.98,0,0,9.6,9.2,1
8.5,1970,4.9,566,43.26,1.44,0.99,0,0,9.4,9.4,1
3.33,1096,5,290,54.15,3.47,1.06,,19,23,16.2,0
7.64,246,0.5,87,15.48,0.33,0,0,0,0,3.5,1
7.6,1557,6.1,338,40.67,0.53,1.69,21,13,4.6,28.2,0
9,1902,1.9,88,6.03,2.11,3.51,33,5,6.2,21.1,0
1.46,1420,11.6,631,99.3,3.98,0.97,35,9,10.7,17.9,0
11.75,1156,5.6,913,57.32,1.47,2.42,34,13,10,1,0
7.47,1031,0,580,9.68,2.3,3.47,31,8,12.3,15.5,0
8.48,1920,4.8,595,44.12,1.44,0.96,0,,9.4,9.5,1
9.23,1742,0.6,829,30.54,2.14,2,23,12,11.5,16.9,0
7.82,1799,5.5,0,19.03,0.59,3.19,29,8,12.3,12.5,0
6.95,1615,2.7,272,48.16,3.67,1.31,,9,5,4.2,0
3.7,996,7.6,305,43.44,0.79,3.97,26,7,36.1,28.9,0
6.55,1713,5.7,286,43.85,1.88,3.6,31,7,7.6,0,0
8.35,1964,4.9,582,43.58,1.43,0.9,0,0,9.5,9.1,1
8.49,1538,4.5,491,69.77,2.6,2.3,30,10,23.3,8.6,0
5.47,1705,5.2,0,47.68,1.85,0.8,31,4,22.1,33.7,0
8.37,1921,4.8,575,43.2,1.45,0.96,0,0,9.6,9.6,1
4.78,1400,10.8,567,84.66,3.24,2.2,47,8,17.9,28.6,0
3.67,1285,3.1,99,60.56,0.93,2.6,29,13,3.8,12.7,0
8.34,1926,4.9,565,43.55,1.46,0.93,0,0,9.3,9.5,1
8.94,1534,9.2,283,43.48,0.84,0,34,12,34.5,22.6,0
8.43,1961,4.7,600,43.76,1.45,0.96,0,,9.4,9.5,1
8.27,1826,5.4,324,37.5,2.55,4.08,38,15,16.8,6.8,0
7.92,1943,6.1,542,41.36,1.54,0,27,10,19.2,19.4,0
10.7,2122,4,95,54.54,2.31,3.23,17,,15.6,20.9,0
8.27,2259,5,294,21.95,0.56,1.8,33,13,18.1,6.7,0
9.95,2105,5.8,672,33.27,0.75,5.28,32,12,1.3,32.3,0
6.02,546,12,558,17.34,1.61,3.75,23,7,12.4,15.5,0
10.32,1494,0.8,455,27.34,2.47,0.94,32,18,48.7,0,0
6.44,1821,5.9,651,50.93,3.17,2.72,33,7,17.4,19.4,0
9.12,1587,12.8,531,61.94,1.62,1.95,22,,22.7,17.4,0
7.37,197,0.3,92,8.02,0.3,0.12,0,0,1.7,2.4,1
8.62,1823,15.2,419,53.98,1.04,0,,5,36.8,22.7,0
7.07,1579,5.9,400,85.82,2.5,0,30,13,16.2,24.4,0
5.83,2909,0,953,53.13,1.66,0.93,32,,35.1,18.5,0
7.52,845,7.4,410,59.37,1.6,2.98,38,7,17.6,25.7,0
5.87,270,6.6,442,56.3,2.15,1.92,29,17,8.4,15.3,0
8.8,841,1.7,222,66.24,1.68,3.66,39,8,28.7,15.7,0
5.94,834,11.1,279,27.58,1.17,3.54,34,14,4.6,25.3,0
5.6,1420,4.8,615,42.49,3.07,2.65,22,12,32.3,18.5,0
3.25,2441,3.5,0,61.3,3.3,0,27,17,26.3,11.9,0
8.36,1939,4.8,586,44.07,1.44,0.94,0,0,9.5,9.7,1
11.55,2085,8.9,635,58.42,2.61,1.02,31,9,24.6,3,0
8.34,1943,4.8,571,44.24,1.46,0.95,0,0,9.9,9.7,1
11.54,750,1.8,606,49.34,1,2.69,32,3,7.7,10.6,0
5.69,796,10.5,374,58.97,1.16,0,31,11,11.7,16.8,0
7.32,201,0.3,126,16.02,0.4,0.06,0,0,2.5,2.9,1
7.58,267,0.5,104,7.15,0.32,0.14,0,0,0.1,2.3,1
10.33,1365,13.3,655,77.1,2.52,0.15,33,9,12.7,16.4,0
8.82,1409,6,218,54.52,2.77,4.14,37,14,2.7,15.4,0
4.86,1786,2.8,202,34.31,3.39,2.7,21,10,34.1,6.1,0
8.72,420,5.1,228,25.11,2.25,3.51,31,10,16.9,18.1,0
8.61,2314,11.3,161,77.66,2.37,4.72,31,7,3.6,21.3,0
6.45,1333,7,326,34.9,3.87,2.03,25,15,15.2,19.6,0
9.61,2497,5,304,33.84,3.38,0.65,33,13,0,17.1,0
8.29,1109,6.4,391,55.94,1.39,0,35,17,24.3,25,0
8.44,1944,4.8,582,44.15,1.43,0.94,,0,9.7,9.5,1
5.97,2070,5,438,57.81,1.15,0,35,12,15.1,13.4,0
8.43,1929,4.9,556,43.97,1.46,0.96,0,,9.5,9.6,1
2.39,960,4.7,571,88.41,1.54,3.73,33,7,0,17.2,0
7.47,84,0.3,101,13.02,0.36,0.02,0,0,3.8,1.5,1
9.62,525,1.8,781,3.18,2.24,2.35,32,11,0,19.1,0
7.21,1121,1.5,410,33.62,0.03,1.56,34,7,22.9,24.7,0
8.41,1900,4.7,585,43.84,1.46,0.93,0,,9.3,9.6,1
