pH,TDS_mg_L,Turbidity_NTU,Hardness_mg_L,Nitrates_mg_L,Fluoride_mg_L,Iron_mg_L,Total_Coliform_MPN,Ecoli_MPN,Lead_ppb,Arsenic_ppb,potable_label
9.7,1699.0,4.7,536.0,59.14,1.87,1.37,,6.0,15.2,12.7,0
7.85,974.0,2.9,703.0,13.91,2.1,2.34,26.0,7.0,15.5,8.6,0
7.87,283.0,1.8,126.0,25.4,0.47,0.14,0.0,0.0,3.9,2.4,1
3.29,881.0,6.6,67.0,11.57,2.05,2.6,20.0,7.0,8.4,20.4,0
11.35,944.0,10.9,0.0,47.9,1.64,0.0,19.0,8.0,5.5,26.4,0
3.58,1641.0,0.0,599.0,44.82,1.65,0.65,23.0,4.0,11.8,5.2,0
1.2,750.0,11.3,470.0,55.93,1.36,0.61,18.0,4.0,3.8,9.3,0
6.95,1173.0,2.7,446.0,74.36,3.17,1.14,19.0,16.0,22.3,9.3,0
5.81,940.0,6.2,241.0,11.66,1.49,1.28,,6.0,11.4,20.9,0
7.01,579.0,5.7,389.0,44.11,2.62,3.84,,7.0,12.9,4.6,0
7.38,787.0,3.2,387.0,36.77,1.01,2.55,13.0,16.0,12.6,13.4,0
2.92,780.0,11.3,186.0,56.91,1.95,2.26,18.0,,9.1,18.4,0
7.53,108.0,1.7,124.0,13.46,0.46,0.33,0.0,0.0,4.3,1.2,1
8.83,1876.0,0.6,641.0,41.86,2.54,2.3,19.0,5.0,8.0,13.0,0
4.64,1215.0,6.3,280.0,34.91,1.5,0.69,18.0,10.0,4.8,0.1,0
7.29,241.0,1.8,139.0,22.39,0.66,0.42,0.0,0.0,3.6,1.5,1
6.78,559.0,3.8,326.0,44.75,1.84,1.01,20.0,6.0,16.5,24.8,0
7.56,395.0,1.0,123.0,23.24,0.78,0.09,0.0,0.0,2.4,4.4,1
7.49,157.0,1.0,142.0,12.35,0.71,0.17,0.0,0.0,4.1,5.7,1
6.87,1288.0,9.2,117.0,68.81,2.4,1.59,25.0,13.0,4.8,11.0,0
7.39,914.0,3.7,198.0,27.85,1.74,1.55,15.0,2.0,22.2,2.0,0
5.78,720.0,3.1,603.0,37.23,1.55,0.31,17.0,12.0,20.2,6.0,0
5.96,942.0,3.9,429.0,38.3,0.34,3.26,23.0,3.0,14.9,8.1,0
6.16,735.0,6.0,552.0,18.51,2.59,0.44,15.0,7.0,16.1,20.0,0
6.91,893.0,7.9,451.0,45.01,2.08,2.02,21.0,3.0,12.2,14.8,0
5.65,190.0,6.9,264.0,38.9,1.05,0.0,24.0,2.0,16.1,0.0,0
5.87,943.0,7.4,566.0,45.96,0.85,1.55,19.0,5.0,16.7,10.9,0
7.84,852.0,3.0,535.0,49.35,2.3,0.73,21.0,9.0,11.3,12.6,0
4.9,1691.0,3.9,406.0,57.68,2.47,1.59,16.0,,6.5,7.9,0
7.49,229.0,0.9,155.0,17.56,0.84,0.23,0.0,,4.4,2.5,1
6.83,471.0,1.6,170.0,31.66,0.42,0.31,0.0,0.0,1.7,2.3,1
7.94,337.0,0.2,160.0,34.37,0.73,0.15,0.0,0.0,2.7,4.4,1
8.41,683.0,3.4,250.0,55.03,2.66,3.31,21.0,14.0,18.0,7.9,0
7.36,290.0,1.6,111.0,9.72,0.87,0.14,,,2.0,2.7,1
7.72,474.0,2.8,134.0,6.97,0.71,0.02,0.0,,3.5,2.5,1
5.17,1238.0,1.3,455.0,41.34,0.92,4.11,,8.0,7.8,20.5,0
5.88,1084.0,5.4,47.0,55.33,1.63,1.08,21.0,,12.4,14.5,0
6.98,580.0,6.6,67.0,45.04,3.12,2.08,20.0,6.0,13.9,20.2,0
7.28,371.0,0.7,155.0,20.7,0.71,0.16,,,0.0,2.1,1
5.75,830.0,2.6,279.0,10.29,0.31,0.28,14.0,7.0,16.4,18.2,0
7.56,397.0,2.2,114.0,6.01,0.47,0.21,0.0,0.0,2.2,3.9,1
7.85,1330.0,3.3,570.0,6.73,1.08,2.58,21.0,4.0,12.6,16.4,0
9.95,780.0,6.5,267.0,22.47,1.86,2.16,22.0,10.0,8.8,7.5,0
6.76,1044.0,4.5,345.0,70.86,0.67,2.84,24.0,7.0,6.7,14.0,0
7.81,987.0,11.3,553.0,30.69,1.32,1.62,27.0,,10.7,15.0,0
7.21,1511.0,6.7,761.0,19.04,0.66,1.97,26.0,6.0,20.2,4.2,0
4.33,1260.0,4.6,113.0,11.27,0.49,1.15,16.0,7.0,9.2,10.7,0
10.4,885.0,2.7,78.0,54.48,0.93,0.71,16.0,12.0,21.0,19.3,0
8.09,940.0,4.9,249.0,29.91,2.09,3.85,25.0,9.0,7.9,14.7,0
7.52,493.0,1.6,200.0,28.93,1.84,0.27,16.0,9.0,8.3,10.6,0
6.68,230.0,0.0,197.0,16.43,0.66,0.1,,0.0,0.1,4.3,1
6.93,307.0,1.8,18.0,31.21,0.76,0.31,,0.0,5.3,3.0,1
8.35,476.0,8.3,84.0,29.0,2.46,0.0,28.0,,7.8,0.0,0
5.65,1067.0,1.8,594.0,15.94,3.29,2.04,,8.0,10.4,18.4,0
4.37,1573.0,0.5,260.0,41.88,0.92,1.02,17.0,6.0,14.1,7.4,0
6.98,456.0,2.8,168.0,26.99,1.02,0.15,0.0,0.0,1.8,3.4,1
6.98,1520.0,9.2,340.0,51.2,2.22,2.1,18.0,8.0,17.8,12.3,0
11.09,1450.0,4.3,339.0,44.24,1.81,2.74,,8.0,8.9,20.1,0
4.13,1516.0,4.6,127.0,46.77,1.39,2.65,18.0,10.0,17.7,25.6,0
5.41,1676.0,5.2,359.0,36.62,2.67,0.0,17.0,6.0,24.1,18.8,0
10.5,676.0,5.0,273.0,34.99,2.25,2.65,20.0,8.0,23.7,6.5,0
7.42,180.0,2.6,159.0,33.53,0.6,0.0,0.0,0.0,0.0,1.7,1
6.11,999.0,7.3,196.0,46.85,2.04,1.26,15.0,9.0,4.5,11.9,0
7.07,1411.0,8.5,630.0,57.04,2.08,0.23,17.0,5.0,9.9,9.1,0
10.17,802.0,3.9,465.0,56.89,0.0,1.7,26.0,5.0,25.3,6.4,0
5.57,442.0,0.0,81.0,32.17,1.06,2.02,19.0,7.0,16.4,21.9,0
6.01,1685.0,3.7,324.0,22.79,1.11,0.45,17.0,13.0,5.9,0.2,0
7.15,228.0,2.2,155.0,16.06,0.65,0.2,0.0,0.0,3.6,3.9,1
6.95,504.0,2.3,131.0,21.97,0.5,0.23,0.0,0.0,3.4,5.4,1
7.22,1281.0,10.3,435.0,60.61,2.28,2.69,12.0,9.0,6.4,9.6,0
6.73,622.0,9.8,293.0,26.03,1.39,2.01,29.0,8.0,14.4,17.3,0
7.54,223.0,2.6,131.0,26.43,0.88,0.21,0.0,0.0,1.7,3.2,1
7.38,1300.0,3.3,727.0,29.98,2.02,2.34,,2.0,8.8,15.8,0
7.7,1729.0,3.5,396.0,28.61,1.34,0.15,22.0,7.0,15.0,21.4,0
9.39,1075.0,1.8,280.0,43.4,1.1,0.35,16.0,10.0,14.7,3.4,0
8.9,1605.0,6.0,260.0,27.12,1.74,3.99,21.0,8.0,17.4,16.6,0
7.95,193.0,1.0,201.0,9.47,0.64,0.09,0.0,0.0,1.9,1.2,1
6.59,857.0,8.8,594.0,28.04,1.28,0.0,12.0,11.0,0.9,8.9,0
4.56,1064.0,2.2,84.0,38.68,1.42,0.15,20.0,5.0,15.6,12.5,0
7.04,198.0,0.4,129.0,18.11,0.7,0.21,0.0,0.0,2.4,4.1,1
7.52,1181.0,2.7,229.0,39.46,2.22,2.76,25.0,9.0,12.7,19.2,0
7.1,245.0,2.9,72.0,27.55,0.67,0.29,0.0,,2.6,2.9,1
7.38,241.0,1.6,155.0,18.82,0.8,0.22,0.0,0.0,2.2,0.5,1
7.67,282.0,1.4,167.0,25.04,0.62,0.28,0.0,0.0,4.3,1.2,1
6.6,791.0,12.2,684.0,49.06,2.39,0.67,24.0,12.0,11.5,20.6,0
8.27,701.0,7.3,405.0,29.89,1.74,2.01,15.0,11.0,10.1,8.0,0
6.49,1523.0,5.8,452.0,33.43,2.11,1.93,17.0,10.0,6.6,10.7,0
13.33,789.0,4.4,412.0,76.26,1.42,1.02,17.0,8.0,20.3,15.3,0
11.51,953.0,4.5,678.0,47.95,1.16,0.7,15.0,4.0,8.4,5.7,0
10.59,1067.0,3.2,415.0,55.5,1.67,0.22,22.0,8.0,14.3,16.9,0
4.39,945.0,3.8,450.0,28.14,0.93,1.98,24.0,10.0,14.9,15.5,0
8.31,1154.0,0.5,381.0,21.91,1.82,0.38,14.0,11.0,2.0,5.3,0
9.16,2057.0,7.2,835.0,29.49,1.01,1.9,19.0,12.0,9.3,6.0,0
3.57,441.0,1.0,77.0,65.83,1.41,0.75,21.0,7.0,21.9,12.3,0
6.5,614.0,4.8,242.0,73.27,0.38,2.0,,9.0,20.4,16.8,0
5.97,1427.0,8.3,362.0,42.6,2.17,0.18,13.0,11.0,19.6,22.7,0
5.4,1140.0,2.4,0.0,36.81,1.53,0.41,17.0,10.0,10.3,15.3,0
4.67,459.0,7.5,819.0,38.62,0.97,2.03,24.0,6.0,21.8,8.2,0
5.08,794.0,2.5,500.0,65.16,1.33,2.84,12.0,7.0,12.2,8.1,0
4.39,771.0,0.7,355.0,20.48,1.38,2.38,19.0,7.0,4.3,14.5,0
7.46,211.0,1.1,168.0,25.31,1.03,0.1,0.0,0.0,4.1,1.4,1
4.97,1095.0,5.7,483.0,29.0,3.39,0.0,16.0,10.0,9.8,18.5,0
6.43,1184.0,6.3,809.0,45.48,1.64,1.79,22.0,7.0,14.7,8.4,0
8.36,868.0,4.1,349.0,38.56,2.19,0.55,35.0,8.0,2.7,18.3,0
7.96,1510.0,8.5,106.0,29.7,2.01,2.64,22.0,9.0,4.1,13.6,0
8.94,1002.0,7.3,890.0,51.86,1.61,2.37,19.0,6.0,15.5,16.8,0
4.89,1583.0,1.8,219.0,49.12,2.3,1.82,17.0,,22.1,11.3,0
7.21,402.0,4.2,203.0,45.73,2.29,3.26,23.0,,10.8,19.7,0
7.1,281.0,4.2,626.0,11.96,3.57,1.26,20.0,9.0,18.1,11.9,0
7.19,318.0,3.8,440.0,49.44,2.11,1.45,20.0,13.0,11.0,4.2,0
6.25,673.0,10.8,335.0,66.88,0.72,1.09,23.0,10.0,15.1,23.2,0
6.39,1317.0,9.9,616.0,17.69,2.45,0.87,14.0,,11.4,13.4,0
4.35,1415.0,7.9,425.0,44.01,2.01,1.55,20.0,11.0,9.2,2.8,0
7.85,1315.0,7.2,52.0,47.74,1.81,0.87,20.0,7.0,10.9,9.6,0
7.67,245.0,1.6,207.0,28.3,0.9,0.05,0.0,0.0,5.2,3.1,1
6.37,166.0,4.6,450.0,56.06,2.17,2.2,21.0,8.0,16.9,16.4,0
6.46,1203.0,8.2,373.0,58.85,1.16,0.0,17.0,,9.4,11.3,0
6.24,281.0,7.1,146.0,18.44,2.19,0.59,23.0,5.0,16.9,2.9,0
1.86,1139.0,2.2,148.0,29.29,2.07,2.19,20.0,,10.3,16.7,0
10.84,1561.0,4.9,121.0,59.24,0.0,0.76,29.0,6.0,1.7,23.7,0
7.4,1207.0,4.6,650.0,45.23,1.16,2.95,22.0,6.0,6.0,2.6,0
7.33,220.0,0.3,101.0,30.75,0.64,0.18,0.0,0.0,2.3,1.7,1
6.89,436.0,1.7,107.0,20.06,0.69,0.19,0.0,0.0,2.5,1.8,1
4.78,526.0,1.4,32.0,45.37,1.48,0.79,24.0,5.0,6.9,9.4,0
6.52,312.0,3.4,274.0,13.37,1.36,2.0,22.0,5.0,6.4,12.7,0
9.98,289.0,2.6,588.0,17.41,0.9,1.0,28.0,7.0,12.6,24.8,0
6.36,1395.0,1.4,337.0,38.36,2.3,2.25,14.0,9.0,13.5,25.4,0
4.16,1769.0,5.8,318.0,46.16,0.38,1.82,21.0,7.0,20.2,14.4,0
8.63,814.0,2.0,453.0,45.27,1.59,1.33,,8.0,16.5,7.7,0
5.71,0.0,1.0,592.0,53.89,0.8,1.07,,8.0,16.8,3.5,0
3.08,832.0,0.0,815.0,41.58,2.6,1.23,16.0,,15.0,4.6,0
7.59,313.0,1.3,139.0,15.11,0.62,0.12,0.0,0.0,0.0,1.0,1
5.81,677.0,8.0,398.0,34.86,2.97,1.59,20.0,9.0,17.5,9.8,0
4.02,260.0,5.1,721.0,31.95,1.87,1.46,24.0,8.0,9.0,24.3,0
5.38,947.0,1.7,346.0,46.47,3.19,1.76,19.0,,19.7,13.3,0
4.47,1704.0,7.4,214.0,52.5,2.86,3.11,23.0,4.0,20.2,16.4,0
6.93,384.0,1.9,143.0,26.78,0.6,0.33,0.0,0.0,1.9,5.0,1
2.62,1353.0,0.0,658.0,73.34,2.04,1.41,26.0,,2.6,9.1,0
3.54,593.0,4.1,229.0,46.93,4.01,2.27,14.0,3.0,12.8,4.6,0
7.76,1223.0,3.3,214.0,42.62,1.97,2.81,24.0,9.0,15.8,5.8,0
7.37,441.0,2.3,115.0,25.63,0.72,0.23,0.0,0.0,5.9,6.3,1
9.16,770.0,3.2,436.0,51.08,1.7,0.67,15.0,12.0,18.2,11.4,0
5.19,622.0,5.8,539.0,37.79,2.51,4.24,26.0,3.0,20.0,10.2,0
7.39,158.0,1.3,123.0,31.67,0.74,0.21,0.0,0.0,3.3,2.8,1
8.78,1734.0,2.7,565.0,31.63,3.16,1.75,23.0,5.0,13.8,15.8,0
7.22,161.0,3.4,171.0,21.58,0.71,0.18,0.0,0.0,1.5,2.7,1
7.62,1650.0,5.5,163.0,31.4,0.98,1.8,13.0,9.0,2.7,16.9,0
6.84,490.0,0.7,512.0,60.47,2.94,0.0,22.0,5.0,6.8,13.8,0
7.65,236.0,1.3,159.0,11.63,0.86,0.18,0.0,0.0,6.4,1.5,1
5.1,364.0,7.8,338.0,59.57,2.39,0.43,22.0,,7.7,12.2,0
7.29,1361.0,1.1,649.0,51.78,2.18,3.27,14.0,8.0,3.2,16.3,0
7.39,290.0,1.8,103.0,13.98,1.12,0.23,0.0,0.0,3.6,2.4,1
6.67,673.0,8.2,426.0,33.79,0.9,2.09,24.0,12.0,9.3,14.0,0
7.11,376.0,1.6,135.0,31.52,0.48,0.14,0.0,0.0,0.0,5.3,1
10.27,1467.0,3.6,485.0,52.89,2.34,3.26,13.0,10.0,19.1,3.0,0
7.5,1146.0,4.2,813.0,49.77,0.65,0.87,29.0,4.0,8.9,11.9,0
8.23,959.0,6.2,693.0,40.51,1.86,1.62,17.0,7.0,11.4,11.2,0
4.35,1137.0,2.9,483.0,54.16,1.63,1.63,24.0,,15.3,19.6,0
7.23,553.0,5.7,217.0,45.45,1.34,2.48,22.0,12.0,11.2,5.2,0
7.78,283.0,1.5,130.0,19.08,0.89,0.11,0.0,0.0,6.0,5.5,1
8.0,563.0,2.8,598.0,56.83,2.92,1.07,18.0,6.0,6.5,2.2,0
5.83,969.0,3.2,458.0,63.82,1.63,0.88,19.0,2.0,11.9,10.0,0
7.3,236.0,2.1,144.0,13.99,0.73,0.15,0.0,,4.3,5.2,1
7.84,291.0,2.7,155.0,15.65,0.95,0.21,0.0,0.0,2.3,0.8,1
9.78,787.0,7.8,471.0,58.28,1.78,1.58,21.0,8.0,20.1,4.8,0
4.4,793.0,5.5,511.0,10.01,2.49,2.62,14.0,10.0,13.1,6.9,0
5.43,1164.0,3.5,120.0,45.73,2.85,1.63,17.0,9.0,10.4,2.2,0
7.13,301.0,2.4,104.0,31.67,0.63,0.24,0.0,0.0,3.8,2.9,1
6.02,875.0,5.7,345.0,41.38,2.24,2.19,25.0,8.0,19.1,5.5,0
4.64,1032.0,3.2,677.0,41.8,1.99,1.25,15.0,3.0,0.0,10.6,0
7.07,292.0,1.8,180.0,20.69,0.59,0.32,0.0,0.0,5.5,3.4,1
9.9,1556.0,4.1,268.0,63.23,1.62,2.11,18.0,9.0,6.1,20.4,0
7.59,235.0,2.2,143.0,27.0,0.78,0.18,0.0,0.0,2.5,4.8,1
6.8,1312.0,6.9,433.0,59.77,2.71,1.48,21.0,7.0,17.8,16.6,0
7.04,347.0,1.2,52.0,18.01,0.58,0.15,0.0,0.0,3.1,2.0,1
5.24,1420.0,6.2,219.0,30.51,2.38,3.9,22.0,9.0,22.8,17.1,0
7.68,508.0,1.7,130.0,19.53,0.29,0.26,0.0,0.0,3.8,5.1,1
9.28,669.0,5.6,892.0,50.26,2.41,2.73,14.0,12.0,12.8,14.5,0
6.49,1086.0,4.9,465.0,54.74,2.46,0.59,30.0,10.0,14.2,15.8,0
5.17,615.0,10.0,577.0,37.57,0.0,2.1,13.0,8.0,15.2,3.8,0
6.22,831.0,10.0,456.0,54.32,1.77,0.54,11.0,5.0,3.6,12.1,0
4.77,1058.0,1.8,390.0,44.06,0.27,1.42,18.0,4.0,3.8,25.3,0
8.79,1356.0,8.6,521.0,33.33,1.85,1.62,15.0,5.0,19.0,19.6,0
10.41,1475.0,2.8,483.0,48.78,3.53,0.71,21.0,9.0,8.3,11.5,0
7.15,790.0,5.0,508.0,52.62,2.05,0.0,27.0,5.0,13.4,5.7,0
7.6,668.0,2.2,607.0,60.59,1.52,0.46,27.0,7.0,8.2,7.2,0
8.77,977.0,3.4,693.0,55.58,0.92,2.46,22.0,,11.6,14.8,0
8.99,1797.0,4.4,707.0,23.3,0.73,1.61,21.0,,12.8,6.9,0
5.34,1430.0,3.5,432.0,57.4,0.57,0.0,13.0,9.0,11.8,19.4,0
6.79,865.0,7.7,197.0,24.74,1.9,2.63,15.0,14.0,17.5,12.8,0
9.97,685.0,4.7,250.0,43.23,1.67,0.0,21.0,11.0,5.6,1.0,1
11.06,1993.0,2.3,385.0,62.99,0.82,2.49,,4.0,10.9,13.0,0
9.89,957.0,7.2,551.0,53.39,0.54,0.95,25.0,6.0,1.5,23.4,1
4.94,1369.0,4.5,383.0,55.63,2.24,1.1,16.0,11.0,0.9,21.0,0
3.98,913.0,3.1,256.0,31.67,2.31,1.75,18.0,11.0,8.8,7.4,0
7.42,1404.0,4.7,345.0,55.97,1.8,0.89,25.0,3.0,14.0,14.4,0
4.43,1010.0,3.6,365.0,69.4,1.9,2.77,29.0,13.0,7.1,12.6,0
8.87,1306.0,3.4,275.0,51.94,0.68,1.87,29.0,10.0,11.7,2.6,0
7.66,273.0,1.3,126.0,31.66,0.72,0.23,0.0,0.0,3.4,0.0,1
8.26,1255.0,10.9,467.0,30.59,1.42,0.55,,3.0,,8.3,0
7.24,993.0,4.7,184.0,43.45,1.48,0.79,22.0,7.0,,9.6,0
6.94,421.0,2.8,185.0,25.52,0.91,0.23,0.0,,,0.8,1
5.42,1349.0,2.4,579.0,68.86,2.27,2.15,20.0,8.0,,5.9,0
7.6,140.0,0.5,171.0,20.98,0.9,0.29,0.0,0.0,,2.5,1
7.53,641.0,10.1,137.0,39.74,1.68,2.96,14.0,,,5.6,0
7.29,283.0,1.8,119.0,18.48,0.57,0.23,0.0,0.0,,2.5,1
8.44,1237.0,0.6,651.0,56.01,1.43,0.94,25.0,6.0,,5.9,0
6.78,1194.0,3.5,570.0,43.12,1.34,1.08,21.0,,,16.4,0
5.2,1335.0,6.6,343.0,52.53,2.01,0.3,16.0,1.0,,2.6,1
8.19,628.0,2.3,502.0,43.32,1.41,1.5,17.0,4.0,,4.0,0
6.98,1121.0,5.9,428.0,41.86,1.98,1.27,14.0,9.0,,14.0,0
6.73,891.0,7.1,489.0,69.2,2.33,1.33,25.0,,,16.8,0
6.32,1077.0,5.6,696.0,44.53,2.08,1.54,,,,1.9,0
7.55,354.0,0.7,157.0,23.67,0.52,0.24,0.0,0.0,,2.4,0
9.4,955.0,6.9,634.0,60.18,1.52,0.74,20.0,7.0,,11.3,0
4.29,1570.0,2.1,215.0,60.49,1.68,0.0,,,,17.5,0
6.23,1136.0,0.0,108.0,35.98,1.46,1.13,19.0,7.0,,4.0,0
10.72,732.0,5.5,361.0,66.27,2.24,1.06,20.0,10.0,,6.9,0
8.75,1036.0,0.1,215.0,59.04,0.98,0.34,17.0,5.0,,11.5,0
2.88,919.0,3.6,421.0,39.89,2.32,3.42,15.0,11.0,,14.9,0
5.81,956.0,6.2,6.0,42.5,0.66,0.29,16.0,5.0,,7.5,0
4.8,873.0,7.2,581.0,66.27,1.57,1.43,,10.0,,10.4,0
7.68,119.0,0.4,138.0,9.11,0.72,0.41,0.0,0.0,,4.4,1
11.59,1242.0,7.4,246.0,38.76,1.54,0.62,23.0,8.0,10.8,10.3,0
9.11,662.0,6.1,216.0,37.19,1.66,2.91,22.0,,9.3,4.9,0
7.21,248.0,1.1,161.0,13.63,1.17,0.01,0.0,,3.0,2.9,1
9.77,293.0,5.8,586.0,52.8,1.83,2.53,22.0,15.0,11.6,16.6,0
8.13,600.0,1.9,522.0,44.3,1.48,2.4,23.0,,11.4,10.5,0
4.44,592.0,4.5,76.0,54.67,1.6,2.58,25.0,8.0,15.6,16.4,0
9.2,987.0,3.8,330.0,59.17,0.54,2.04,25.0,7.0,5.8,13.3,0
7.78,219.0,1.4,125.0,23.61,0.48,0.14,,0.0,2.9,2.2,1
